PLAYER,BIRTHDAY,BIRTH STATE / COUNTRY,BIRTH CITY,NATIONALITY,POS,HEIGHT,WEIGHT,COLLEGE / TEAM,DRAFT,PICK,TEAM,REAL TEAM,
Briante Weber,12/29/1992,Virginia,Chesapeake,United States,G,6-2,165,VCU,2015,UND,,,Briante Weber
Brice Johnson,6/27/1994,South Carolina,Orangeburg,United States,F,6-10,230,North Carolina,2016,25,LAC,LAC,Brice Johnson
Brice Sensabaugh,10/30/2003,Florida,Orlando,United States,F,6-5,235,Ohio St,2023,28,UTA,UTA,Brice Sensabaugh
Britton Johnsen,7/8/1979,Utah,Salt Lake City,United States,F,6-10,210,Utah,2003,UND,,,Britton Johnsen
Brodric Thomas,1/28/1997,Illinois,Bolingbrook,United States,G,6-5,185,Truman St,2020,UND,,,Brodric Thomas
Bronny James,10/6/2004,Ohio,Akron,United States,G,6-2,245,USC,2024,55,LAL,LAL,Bronny James
Brook Lopez,4/1/1988,California,Los Angeles,United States,C,7-1,282,Stanford,2008,10,BKN,BKN,Brook Lopez
Brook Steppe,9/7/1959,North Carolina,Chapel Hill,United States,G,6-5,195,Georgia Tech,1982,17,SAC,SAC,Brook Steppe
Brooks Barnhizer,3/2/2002,Indiana,Lafayette,United States,G,6-6,230,Northwestern,2025,44,OKC,OKC,Brooks Barnhizer
Brooks Thompson,7/19/1970,Texas,Dallas,United States,G,6-4,193,Oklahoma St,1994,27,ORL,ORL,Brooks Thompson
Bruce Bowen,6/14/1971,California,Merced,United States,F,6-7,200,UC-Fullerton,1993,UND,,,Bruce Bowen
Bruce Brown,8/15/1996,Massachussetts,Boston,United States,G-F,6-4,202,Miami,2018,42,DET,DET,Bruce Brown
Bruce Douglas,4/9/1964,Illinois,Quincy,United States,G,6-3,195,Illinois,1986,57,SAC,SAC,Bruce Douglas
Bruce Flowers,6/13/1957,New York,Rochester,United States,F,6-8,225,Notre Dame,1979,26,CLE,CLE,Bruce Flowers
Bruce Hale,8/30/1918,Oregon,Medford,United States,G,6-1,170,Santa Clara,1948,UND,,,Bruce Hale
Bruce Kuczenski,2/3/1961,Connecticut,Bristol,United States,F,6-10,230,Connecticut,1983,59,BKN,BKN,Bruce Kuczenski
Bruce Seals,6/18/1953,Louisiana,New Orleans,United States,F,6-8,210,Xavier of Louisiana,1975,21,OKC,OKC,Bruce Seals
Bruno Caboclo,9/21/1995,Brazil,Osasco,Brazil,F,6-9,218,Pinheiros,2014,20,TOR,TOR,Bruno Caboclo
Bruno Fernando,8/15/1998,Angola,Luanda,Angola,F-C,6-9,240,Maryland,2019,34,PHI,ATL,Bruno Fernando
Bruno Sundov,2/10/1980,Croatia,Split,Croatia,C,7-2,260,Split,1998,35,DAL,DAL,Bruno Sundov
Bryan Warrick,7/22/1959,Washington,Moses Lake,United States,G,6-5,195,St. Joseph's (PA),1982,25,WAS,WAS,Bryan Warrick
Bryant Reeves,6/8/1973,Arkansas,Fort Smith,United States,C,7-0,290,Oklahoma St,1995,6,MEM,MEM,Bryant Reeves
Bryant Stith,12/10/1970,Virginia,Emporia,United States,G,6-5,210,Virginia,1992,13,DEN,DEN,Bryant Stith
Bryce Cotton,8/11/1992,Arizona,Tucson,United States,G,6-1,165,Providence,2014,UND,,,Bryce Cotton
Bryce Dejean-Jones,8/21/1992,California,Los Angeles,United States,G,6-6,203,Iowa St,2015,UND,,,Bryce Dejean-Jones
Bryce Drew,9/21/1974,Louisiana,Baton Rouge,United States,G,6-3,184,Valparaiso,1998,16,HOU,HOU,Bryce Drew
Bryce McGowens,11/8/2002,South Carolina,Pendleton,United States,G,6-6,175,Nebraska,2022,40,MIN,CHA,Bryce McGowens
Bryn Forbes,7/23/1993,Michigan,Lansing,United States,G,6-2,205,Michigan St,2016,UND,,,Bryn Forbes
Bryon Russell,12/31/1970,California,San Bernardino,United States,G-F,6-7,225,Long Beach St,1993,45,UTA,UTA,Bryon Russell
Bubba Wells,7/26/1974,Kentucky,Russellville,United States,F,6-5,230,Austin Peay,1997,34,DAL,DAL,Bubba Wells
Bubba Wilson,8/7/1955,North Carolina,Gastonia,United States,G,6-3,175,Western Carolina,1978,101,GSW,GSW,Bubba Wilson
Buck Johnson,1/3/1964,Alabama,Birmingham,United States,F,6-7,190,Alabama,1986,20,HOU,HOU,Buck Johnson
Buck Sydnor,9/19/1921,Olmstead,Kentucky,United States,G,5-10,175,Western Kentucky,,,,,Buck Sydnor
Buck Williams,3/8/1960,North Carolina,Rocky Mount,United States,F,6-8,225,Maryland,1981,3,BKN,BKN,Buck Williams
Bucky Bockhorn,7/8/1933,Illinois,Campbell Hill,United States,G,6-4,200,Dayton,1958,17,SAC,SAC,Bucky Bockhorn
Bucky McConnell,7/1/1928,New Jersey,Newark,United States,G,5-10,170,Marshall,1952,UND,,,Bucky McConnell
Bud Acton,1/11/1942,Michigan,Troy,United States,F,6-6,210,Hillsdale,1966,UND,,,Bud Acton
Bud Grant,5/20/1927,Wisconsin,Superior,United States,F,6-3,195,Minnesota,1950,47,LAL,LAL,Bud Grant
Bud Koper,8/9/1942,Oklahoma,Rocky,United States,G,6-6,210,Oklahoma City,1964,14,GSW,GSW,Bud Koper
Bud Ogden,12/29/1946,California,San Luis Obispo,United States,F,6-6,215,Santa Clara,1969,13,PHI,PHI,Bud Ogden
Bud Olsen,7/25/1940,Indiana,Hobart,United States,F,6-8,220,Louisville,1962,13,SAC,SAC,Bud Olsen
Bud Palmer,9/14/1921,California,Hollywood,United States,F,6-4,180,Princeton,,,,,Bud Palmer
Bud Stallworth,1/18/1950,Alabama,Hartselle,United States,F,6-5,190,Kansas,1972,7,OKC,OKC,Bud Stallworth
Buddy Boeheim,11/11/1999,New York,Fayetteville,United States,F,6-5,205,Syracuse,2022,UND,,,Buddy Boeheim
Buddy Hield,12/17/1992,Bahamas,Freeport,Bahamas,G,6-4,220,Oklahoma,2016,6,NOP,NOP,Buddy Hield
Buddy Jeannette,9/15/1917,Pennsylvania,New Kensington,United States,G,5-11,175,Washington & Jefferson,,,,,Buddy Jeannette
Buddy O'Grady,1/19/1920,New York,New York City,United States,G,5-11,160,Georgetown,,,,,Buddy O'Grady
Bulbs Ehlers,3/10/1923,Illinois,Joliet,United States,G,6-3,198,Purdue,1947,3,BOS,BOS,Bulbs Ehlers
Butch Beard,5/4/1947,Kentucky,Hardinsburg,United States,G,6-3,185,Louisville,1969,10,ATL,ATL,Butch Beard
Butch Carter,6/11/1958,Ohio,Springfield,United States,G,6-5,180,Indiana,1980,37,LAL,LAL,Butch Carter
Butch Feher,5/19/1954,Michigan,Flint,United States,G,6-4,185,Vanderbilt,1976,33,PHX,PHX,Butch Feher
Butch Graves,1/5/1962,New York,Scarsdale,United States,F,6-3,200,Yale,1984,68,PHI,PHI,Butch Graves
Butch Lee,12/5/1956,Puerto Rico,Santurce,Puerto Rico,G,6-0,185,Marquette,1978,10,ATL,ATL,Butch Lee
Butch Van Breda Kolff,10/28/1922,New Jersey,Glen Ridge,United States,G-F,6-3,185,New York University,,,,,Butch Van Breda Kolff
Byron Beck,1/25/1945,Washington,Ellensburg,United States,C,6-9,225,Denver,1967,15,CHI,CHI,Byron Beck
Byron Dinkins,6/15/1967,North Carolina,Charlotte,United States,G,6-1,170,North Carolina-Charlotte,1989,UND,,,Byron Dinkins
Byron Houston,11/22/1969,Oklahoma,Watonga,United States,F,6-5,250,Oklahoma St,1992,27,CHI,CHI,Byron Houston
Byron Irvin,12/2/1966,Illinois,LaGrange,United States,G,6-5,190,Missouri,1989,22,POR,POR,Byron Irvin
Byron Scott,3/28/1961,Utah,Ogden,United States,G,6-4,205,Arizona St,1983,4,LAC,LAL,Byron Scott
C.J. Kupec,1/16/1953,Illinois,Oak Lawn,United States,C,6-6,220,Michigan,1975,56,LAL,LAL,C.J. Kupec
Cade Cunningham,9/25/2001,Texas,Arlington,United States,G,6-6,220,Oklahoma St,2021,1,DET,DET,Cade Cunningham
Cal Bowdler,3/31/1977,Virginia,Sharps,Ireland,F,6-10,253,Old Dominion,1999,17,ATL,ATL,Cal Bowdler
Cal Christensen,7/8/1927,Ohio,Toledo,United States,F,6-5,210,Toledo,1950,52,ATL,ATL,Cal Christensen
Cal Ramsey,7/13/1937,Alabama,Selma,United States,F,6-4,200,New York University,1959,13,ATL,ATL,Cal Ramsey
Calbert Cheaney,7/17/1971,Indiana,Evansville,United States,G-F,6-7,210,Indiana,1993,6,WAS,WAS,Calbert Cheaney
Caldwell Jones,8/4/1950,Arkansas,McGehee,United States,C,6-11,217,Albany St (GA),1973,32,PHI,PHI,Caldwell Jones
Caleb Houstan,1/9/2003,Canada,Mississauga,Canada,G,6-8,205,Michigan,2022,32,ORL,ORL,Caleb Houstan
Caleb Love,9/27/2001,Missouri,St. Louis,United States,G,6-4,212,Arizona,2025,ND,,,Caleb Love
Caleb Martin,9/28/1995,North Carolina,Winston-Salem,United States,F,6-5,205,Nevada,2019,UND,,,Caleb Martin
Caleb Swanigan,4/18/1997,Indiana,Indianapolis,United States,F,6-9,260,Purdue,2017,26,POR,POR,Caleb Swanigan
Calvin Booth,5/7/1976,Ohio,Reynoldsburg,United States,C,6-11,230,Penn St,1999,35,WAS,WAS,Calvin Booth
Calvin Garrett,7/11/1956,Tennessee,Parsons,United States,F,6-7,190,Oral Roberts,1979,47,CHI,HOU,Calvin Garrett
Calvin Murphy,5/9/1948,Connecticut,Norwalk,United States,G,5-9,165,Niagara,1970,18,HOU,HOU,Calvin Murphy
Calvin Natt,1/8/1957,Louisiana,Monroe,United States,F,6-6,220,Louisiana-Monroe,1979,8,BKN,BKN,Calvin Natt
Cam Christie,7/24/2005,Illinois,Arlington Heights,United States,G,6-6,235,Minnesota,2024,46,LAC,LAC,Cam Christie
Cam Reddish,9/1/1999,Pennsylvania,Norristown,United States,F-G,6-7,217,Duke,2019,10,ATL,ATL,Cam Reddish
Cam Reynolds,2/7/1995,Texas,Pearland,United States,G-F,6-7,225,Tulane,2018,UND,,,Cam Reynolds
Cam Spencer,4/6/2000,Maryland,Davidsonville,United States,G,6-4,205,UConn,2024,53,DET,MEM,Cam Spencer
Cam Thomas,10/13/2001,Japan,Yokosuka,United States,G,6-3,210,LSU,2021,27,BKN,BKN,Cam Thomas
Cam Whitmore,7/8/2004,Maryland,Odenton,United States,F,6-7,230,Villanova,2023,20,HOU,HOU,Cam Whitmore
Cameron Bairstow,12/7/1990,Australia,Brisbane,Australia,F-C,6-9,250,New Mexico,2014,49,CHI,CHI,Cameron Bairstow
Cameron Johnson,3/3/1996,Pennsylvania,Moon Township,United States,F,6-8,210,North Carolina,2019,11,MIN,PHX,Cameron Johnson
Cameron McGriff,9/30/1997,Texas,Grand Prairie,United States,F,6-7,220,Oklahoma St,2020,UND,,,Cameron McGriff
Cameron Oliver,7/11/1996,California,Oakland,United States,F,6-8,239,Nevada,2017,UND,,,Cameron Oliver
Cameron Payne,8/8/1994,Tennessee,Memphis,United States,G,6-3,183,Murray St,2015,14,OKC,OKC,Cameron Payne
Campy Russell,1/12/1952,Tennessee,Jackson,United States,F,6-8,215,Michigan,1974,8,CLE,CLE,Campy Russell
Carey Scurry,12/4/1962,New York,New York City,United States,F,6-7,188,Long Island-Brooklyn,1985,37,UTA,UTA,Carey Scurry
Caris LeVert,8/25/1994,Ohio,Columbus,United States,G,6-6,205,Michigan,2016,20,IND,BRK,Caris LeVert
Carl Bailey,4/23/1958,Alabama,Birmingham,United States,C,7-0,210,Tuskegee,1980,66,OKC,OKC,Carl Bailey
Carl Braun,9/25/1927,New York,New York City,United States,G,6-5,180,Colgate,,,,,Carl Braun
Carl Henry,8/16/1960,Oklahoma,Hollis,United States,G,6-6,205,Kansas,1984,80,SAC,SAC,Carl Henry
Carl Herrera,12/14/1966,Trinidad,Canaan,Venezuela,F,6-9,225,Houston,1990,30,MIA,HOU,Carl Herrera
Carl Kilpatrick,5/16/1956,Louisiana,Bastrop,United States,C,6-10,230,Louisiana-Monroe,1978,158,UTA,UTA,Carl Kilpatrick
Carl Landry,9/19/1983,Wisconsin,Milwaukee,United States,F,6-9,248,Purdue,2007,31,OKC,HOU,Carl Landry
Carl McNulty,2/14/1930,Indiana,Logansport,United States,G,6-3,185,Purdue,1952,30,LAL,LAL,Carl McNulty
Carl Meinhold,3/29/1926,Pennsylvania,West Hazleton,United States,G,6-2,185,Long Island-Brooklyn,1947,UND,,,Carl Meinhold
Carl Nicks,10/6/1958,Illinois,Chicago,United States,G,6-1,175,Indiana St,1980,23,DEN,DEN,Carl Nicks
Carl Shaeffer,10/25/1924,Indiana,Delphi,United States,G,6-3,185,Alabama,1949,13,PRO,PRO,Carl Shaeffer
Carl Thomas,10/3/1969,Ohio,Dayton,United States,G,6-4,195,Eastern Michigan,1991,UND,,,Carl Thomas
Carldell Johnson,1/28/1983,Louisiana,New Orleans,United States,G,5-10,180,Alabama-Birmingham,2006,UND,,,Carldell Johnson
Carlik Jones,12/23/1997,Ohio,Cincinnati,South Sudan,G,6-0,174,Louisville,2021,UND,,,Carlik Jones
Carlos Arroyo,7/30/1979,Puerto Rico,Fajardo,Puerto Rico,G,6-2,200,Florida International,2001,UND,,,Carlos Arroyo
Carlos Boozer,11/20/1981,Germany,Aschaffenburg,United States,F,6-9,258,Duke,2002,34,CLE,CLE,Carlos Boozer
Carlos Clark,8/20/1960,Tennessee,Somerville,United States,G,6-4,210,Mississippi,1983,91,BOS,BOS,Carlos Clark
Carlos Delfino,8/29/1982,Argentina,Santa Fe,Argentina,G-F,6-6,230,Reggio Calabria,2003,25,DET,DET,Carlos Delfino
Carlos Rogers,2/6/1971,Michigan,Detroit,United States,F-C,6-11,232,Tennessee St,1994,11,OKC,GSW,Carlos Rogers
Carlos Terry,6/22/1956,North Carolina,Lexington,United States,G,6-4,210,Winston-Salem St,1978,104,LAL,LAL,Carlos Terry
Carlton Carrington,7/21/2005,Maryland,Baltimore,United States,G,6-4,256,Pittsburgh,2024,14,POR,WAS,Carlton Carrington
Carlton McKinney,10/21/1964,California,San Diego,United States,F,6-4,190,Southern Methodist,1988,UND,,,Carlton McKinney
Carmelo Anthony,5/29/1984,New York,New York City,United States,F,6-7,238,Syracuse,2003,3,DEN,DEN,Carmelo Anthony
Caron Butler,3/13/1980,Wisconsin,Racine,United States,F,6-7,228,Connecticut,2002,10,MIA,MIA,Caron Butler
Carrick Felix,8/17/1990,Nevada,Las Vegas,United States,G-F,6-6,201,Arizona St,2013,33,CLE,CLE,Carrick Felix
Carsen Edwards,3/12/1998,Texas,Houston,United States,G,5-11,200,Purdue,2019,33,PHI,BOS,Carsen Edwards
Carter Bryant,11/26/2005,California,Riverside,United States,F,6-8,220,Arizona,2025,14,SAS,SAS,Carter Bryant
Cartier Martin,11/20/1984,Texas,Crockett,United States,F,6-7,220,Kansas St,2007,UND,,,Cartier Martin
Casey Jacobsen,3/19/1981,California,Glendora,United States,G,6-6,215,Stanford,2002,22,PHX,PHX,Casey Jacobsen
Casey Shaw,7/20/1975,Ohio,Lebanon,United States,C,6-11,255,Toledo,1998,37,PHI,PHI,Casey Shaw
Cason Wallace,11/7/2003,Texas,Dallas,United States,G,6-3,195,Kentucky,2023,10,DAL,OKC,Cason Wallace
Casper Ware,1/17/1990,California,Cerritos,United States,G,5-10,175,Long Beach St,2012,UND,,,Casper Ware
Cassius Stanley,8/18/1999,California,Los Angeles,United States,G,6-5,190,Duke,2020,54,IND,IND,Cassius Stanley
Cassius Winston,2/28/1998,Michigan,Detroit,United States,G,6-1,185,Michigan St,2020,53,OKC,WAS,Cassius Winston
Cazzie Russell,6/7/1944,Illinois,Chicago,United States,F,6-5,218,Michigan,1966,1,NYK,NYK,Cazzie Russell
Cecil Hankins,1/6/1922,Alabama,Covin,United States,G,6-1,175,Oklahoma St,,,,,Cecil Hankins
Cedi Osman,4/8/1995,North Macedonia,Ohrid,Turkey,F,6-7,230,Anadolu Efes,2015,31,MIN,CLE,Cedi Osman
Cedric Ball,4/16/1968,Massachussetts,Worcester,United States,F,6-8,210,North Carolina-Charlotte,1990,UND,,,Cedric Ball
Cedric Bozeman,3/7/1983,California,Los Angeles,United States,G,6-6,207,UCLA,2006,UND,,,Cedric Bozeman
Cedric Ceballos,8/2/1969,Hawaii,Maui,United States,F,6-7,220,UC-Fullerton,1990,48,PHX,PHX,Cedric Ceballos
Cedric Coward,9/11/2003,California,Fresno,United States,G,6-6,206,Washington St,2025,11,POR,MEM,Cedric Coward
Cedric Henderson (1965),10/3/1965,Georgia,Marietta,United States,F,6-8,210,Georgia,1986,32,CLE,CLE,Cedric Henderson (1965)
Cedric Henderson (1975),3/11/1975,Tennessee,Memphis,United States,F,6-7,225,Memphis,1997,44,ATL,ATL,Cedric Henderson (1975)
Cedric Hunter,1/16/1965,Texas,Wichita Falls,United States,F,6-0,180,Kansas,1987,UND,,,Cedric Hunter
Cedric Jackson,3/5/1986,New Mexico,Alamogordo,United States,G,6-3,190,Cleveland St,2009,UND,,,Cedric Jackson
Cedric Lewis,9/24/1969,District Columbia,Washington,United States,F,6-10,235,Maryland,1991,UND,,,Cedric Lewis
Cedric Maxwell,11/21/1955,North Carolina,Kinston,United States,F,6-8,205,North Carolina-Charlotte,1977,12,BOS,BOS,Cedric Maxwell
Cedric Simmons,1/3/1986,North Carolina,Shallotte,United States,F,6-9,235,North Carolina St,2006,15,NOP,NOP,Cedric Simmons
Cedrick Hordges,1/8/1957,Alabama,Montgomery,United States,C,6-8,220,South Carolina,1979,49,CHI,DEN,Cedrick Hordges
Cezary Trybanski,9/22/1979,Poland,Warsaw,Poland,C,7-2,240,Znicz Pruszkow,2001,UND,,,Cezary Trybanski
Chad Gallagher,5/30/1969,Illinois,Rockford,United States,C,6-10,255,Creighton,1991,32,PHX,PHX,Chad Gallagher
Chad Kinch,5/22/1958,New Jersey,Perth Amboy,United States,G,6-4,190,North Carolina-Charlotte,1980,22,CLE,CLE,Chad Kinch
Chance Comanche,4/14/1996,California,Los Angeles,United States,C,6-10,210,Arizona,2017,UND,,,Chance Comanche
Chandler Hutchison,4/26/1996,California,Mission Viejo,United States,F-G,6-6,210,Boise St,2018,22,CHI,CHI,Chandler Hutchison
Chandler Parsons,10/25/1988,Florida,Casselberry,United States,F,6-10,230,Florida,2011,38,HOU,HOU,Chandler Parsons
Channing Frye,5/17/1983,New York,White Plains,United States,F-C,7-0,255,Arizona,2005,8,NYK,NYK,Channing Frye
Charles Barkley,2/20/1963,Alabama,Leeds,United States,F,6-6,252,Auburn,1984,5,PHI,PHI,Charles Barkley
Charles Bassey,10/28/2000,Nigeria,Lagos,Nigeria,C-F,6-10,230,Western Kentucky,2021,53,PHI,PHI,Charles Bassey
Charles Bradley,5/16/1959,Maryland,Havre De Grace,United States,G,6-5,215,Wyoming,1981,23,BOS,BOS,Charles Bradley
Charles Claxton,12/13/1970,US Virgin Islands,St. Thomas,US Virgin Islands,C,7-0,265,Georgia,1994,50,PHX,PHX,Charles Claxton
Charles Cooke,7/1/1994,New Jersey,Trenton,United States,G,6-5,196,Dayton,2017,UND,,,Charles Cooke
Charles Davis,10/5/1958,Tennessee,Nashville,United States,F,6-7,215,Vanderbilt,1981,35,WAS,WAS,Charles Davis
Charles Dudley,3/5/1950,Pennsylvania,Harrisburg,United States,G,6-2,180,Washington,1972,76,GSW,GSW,Charles Dudley
Charles Jenkins,2/28/1989,New York,New York City,United States,G,6-3,215,Hofstra,2011,44,GSW,GSW,Charles Jenkins
Charles Johnson,3/31/1949,Texas,Corpus Christi,United States,G,6-0,170,California,1971,93,GSW,GSW,Charles Johnson
Charles Jones (1957),4/3/1957,Arkansas,McGehee,United States,F-C,6-9,215,Albany St (GA),1979,165,PHX,PHX,Charles Jones (1957)
Charles Jones (1962),1/12/1962,Mississippi,Scooba,United States,F,6-8,215,Louisville,1984,36,PHX,PHX,Charles Jones (1962)
Charles Jones (1975),7/17/1975,New York,New York City,United States,G,6-3,180,Long Island-Brooklyn,1998,UND,,,Charles Jones (1975)
Charles O'Bannon,2/22/1975,California,Bellflower,United States,G,6-5,209,UCLA,1997,31,DET,DET,Charles O'Bannon
Charles Oakley,12/18/1963,Ohio,Cleveland,United States,F,6-9,245,Virginia Union,1985,9,CLE,CHI,Charles Oakley
Charles Pittman,3/23/1958,North Carolina,Rocky Mount,United States,F,6-8,220,Maryland,1982,61,PHX,PHX,Charles Pittman
Charles Shackleford,4/22/1966,North Carolina,Kinston,United States,C,6-11,245,North Carolina St,1988,32,BKN,BKN,Charles Shackleford
Charles Smith (1965),7/16/1965,Connecticut,Bridgeport,United States,F,6-10,244,Pittsburgh,1988,3,PHI,LAC,Charles Smith (1965)
Charles Smith (1967),11/29/1967,District Columbia,Washington,United States,F,6-1,160,Georgetown,1989,UND,,,Charles Smith (1967)
Charles Smith (1975),8/22/1975,Texas,Fort Worth,United States,G,6-4,200,New Mexico,1997,26,MIA,MIA,Charles Smith (1975)
Charles Thomas,10/3/1969,Ohio,Dayton,United States,G,6-3,175,Eastern Michigan,1991,UND,,,Charles Thomas
Charley Shipp,12/3/1913,Indiana,Indianapolis,United States,G,6-1,200,Catholic,1947,UND,,,Charley Shipp
Charlie Bell,3/12/1979,Michigan,Flint,United States,G,6-3,200,Michigan St,2001,UND,,,Charlie Bell
Charlie Black,6/15/1921,Idaho,Arco,United States,F,6-4,200,Kansas,1948,UND,,,Charlie Black
Charlie Brown,2/2/1997,Pennsylvania,Philadelphia,United States,G,6-6,199,St. Joseph's (PA),2019,UND,,,Charlie Brown
Charlie Criss,11/6/1948,New York,Valhalla,United States,G,5-8,165,New Mexico St,1970,UND,,,Charlie Criss
Charlie Davis,9/7/1949,New York,New York City,United States,G,6-2,160,Wake Forest,1971,120,CLE,CLE,Charlie Davis
Charlie Hardnett,9/13/1938,Georgia,Atlanta,United States,F,6-8,225,Grambling,1962,19,ATL,ATL,Charlie Hardnett
Charlie Hoefer,7/12/1917,Germany,Frankfurt,Germany,G,5-9,158,Queens,,,,,Charlie Hoefer
Charlie Parsley,10/13/1925,Kentucky,London,United States,G,6-2,175,Western Kentucky,1949,UND,,,Charlie Parsley
Charlie Paulk,6/14/1946,Georgia,Fitzgerald,United States,F,6-8,219,Northeastern St,1968,7,MIL,MIL,Charlie Paulk
Charlie Scott,12/15/1948,New York,New York City,United States,G,6-5,175,North Carolina,1970,106,BOS,PHX,Charlie Scott
Charlie Share,3/14/1927,Ohio,Akron,United States,C,6-11,235,Bowling Green,1950,1,BOS,DET,Charlie Share
Charlie Sitton,7/3/1962,Oregon,McMinnville,United States,F,6-8,210,Oregon St,1984,38,DAL,DAL,Charlie Sitton
Charlie Tyra,8/16/1935,Kentucky,Louisville,United States,C,6-8,230,Louisville,1957,2,DET,NYK,Charlie Tyra
Charlie Villanueva,8/24/1984,New York,New York City,Dominican Republic,F,6-11,232,Connecticut,2005,7,TOR,TOR,Charlie Villanueva
Charlie Ward,10/12/1970,Georgia,Thomasville,United States,G,6-2,185,Florida St,1994,26,NYK,NYK,Charlie Ward
Charlie Yelverton,12/5/1948,New York,New York City,United States,G,6-2,190,Fordham,1971,25,POR,POR,Charlie Yelverton
Chase Budinger,5/22/1988,California,Encinitas,United States,F,6-7,209,Arizona,2009,44,DET,HOU,Chase Budinger
Chasson Randle,2/5/1993,Illinois,Rock Island,United States,G,6-2,185,Stanford,2015,UND,,,Chasson Randle
Chauncey Billups,9/25/1976,Colorado,Denver,United States,G,6-3,210,Colorado,1997,3,BOS,BOS,Chauncey Billups
Chaundee Brown,12/4/1998,Florida,Orlando,United States,F,6-6,215,Michigan,2021,UND,,,Chaundee Brown
Chaz Lanier,12/19/2001,Tennessee,Nashville,United States,G,6-4,206,Tennessee,2025,37,DET,DET,Chaz Lanier
Cheese Johnson,9/7/1957,New York,New York City,United States,F,6-5,195,Wichita St,1979,54,GSW,GSW,Cheese Johnson
Cheick Diallo,9/13/1996,Mali,Kayes,Mali,F-C,6-8,219,Kansas,2016,33,LAC,NOP,Cheick Diallo
Cheikh Samb,10/22/1984,Dakar,Senegal,Senegal,C,7-1,245,Cornella,2006,51,LAL,DET,Cheikh Samb
Cherokee Parks,10/11/1972,California,Huntington Beach,United States,F-C,6-11,240,Duke,1995,12,DAL,DAL,Cherokee Parks
Chet Aubuchon,5/18/1916,Indiana,Gary,United States,G,5-10,137,Michigan St,,,,,Chet Aubuchon
Chet Carlisle,11/2/1916,Louisiana,Crowley,United States,F,6-5,195,California,,,,,Chet Carlisle
Chet Holmgren,5/1/2002,Minnesota,Minneapolis,United States,C-F,7-1,208,Gonzaga,2022,2,OKC,OKC,Chet Holmgren
Chet McNabb,9/19/1920,Missouri,Powell,United States,,,,Arizona St,1947,UND,,,Chet McNabb
Chet Walker,2/22/1940,Mississippi,Bethlehem,United States,F,6-7,212,Bradley,1962,12,PHI,PHI,Chet Walker
Chick Halbert,2/27/1919,Texas,Albany,United States,C,6-9,225,West Texas A&M,,,,,Chick Halbert
Chick Reiser,12/17/1914,New York,New York City,United States,G,5-11,165,New York University,1947,75,BAL,BAL,Chick Reiser
Chico Vaughn,2/19/1940,Oregon,Portland,United States,G,6-3,190,Southern Illinois,1962,26,ATL,ATL,Chico Vaughn
Chima Moneke,12/24/1995,Nigeria,Abuja,Nigeria,F,6-5,223,UC-Davis,2018,UND,,,Chima Moneke
Chimezie Metu,3/22/1997,California,Los Angeles,Nigeria,F-C,6-10,225,USC,2018,49,SAS,SAS,Chimezie Metu
Chinanu Onuaku,11/1/1996,Maryland,Baltimore,United States,C,6-10,245,Louisville,2016,37,HOU,HOU,Chinanu Onuaku
Chink Crossin,7/4/1924,Pennsylvania,Luzerne,United States,G,6-1,165,Pennsylvania,1947,6,GSW,GSW,Chink Crossin
Chips Sobek,2/10/1920,Indiana,Hammond,United States,G,6-0,180,Notre Dame,1947,UND,,,Chips Sobek
Chris Andersen,7/7/1978,California,Long Beach,United States,F-C,6-10,245,Blinn JC,1999,UND,,,Chris Andersen
Chris Anstey,1/1/1975,Australia,Melbourne,Australia,C,7-0,249,South East Melbourne Magic,1997,18,POR,DAL,Chris Anstey
Chris Babb,2/14/1990,Texas,Arlington,United States,G,6-5,225,Iowa St,2013,UND,,,Chris Babb
Chris Bosh,3/24/1984,Texas,Dallas,United States,F,6-11,235,Georgia Tech,2003,4,TOR,TOR,Chris Bosh
Chris Boucher,1/11/1993,St. Lucia,Castries,Canada,F,6-9,200,Oregon,2017,UND,,,Chris Boucher
Chris Carr,3/12/1974,Missouri,Ironton,United States,G,6-6,220,Southern Illinois,1995,56,PHX,PHX,Chris Carr
Chris Childs,11/20/1967,California,Bakersfield,United States,G,6-3,195,Boise St,1989,UND,,,Chris Childs
Chris Chiozza,11/21/1995,Tennessee,Memphis,United States,G,5-11,175,Florida,2018,UND,,,Chris Chiozza
Chris Clemons,7/23/1997,North Carolina,Raleigh,United States,G,5-9,180,Campbell,2019,UND,,,Chris Clemons
Chris Copeland,3/17/1984,New Jersey,Orange,United States,F,6-8,235,Colorado,2006,UND,,,Chris Copeland
Chris Corchiani,3/28/1968,Florida,Coral Gables,United States,G,6-0,185,North Carolina St,1991,36,ORL,ORL,Chris Corchiani
Chris Crawford,5/13/1975,Michigan,Kalamazoo,United States,F,6-9,235,Marquette,1997,50,ATL,ATL,Chris Crawford
Chris Douglas-Roberts,1/8/1987,Michigan,Detroit,United States,G,6-7,210,Memphis,2008,40,BKN,BKN,Chris Douglas-Roberts
Chris Duarte,6/13/1997,Dominican Republci,Canada,Dominican Republic,G,6-5,190,Oregon,2021,13,IND,IND,Chris Duarte
Chris Dudley,2/22/1965,Connecticut,Stamford,United States,C,6-11,260,Yale,1987,75,CLE,CLE,Chris Dudley
Chris Duhon,8/31/1982,Louisiana,Mamou,United States,G,6-1,190,Duke,2004,38,CHI,CHI,Chris Duhon
